Apple Inc. Common Stock	AAPL
Fox Corporation Class A Common Stock	FOXA
Fox Corporation Class B Common Stock	FOX
Pembina Pipeline Corp. Ordinary Shares (Canada)	PBA
Hewlett Packard Enterprise Company Common Stock	HPE
MGM Resorts International Common Stock	MGM
Expeditors International of Washington Inc. Common Stock	EXPD
Invitation Homes Inc. Common Stock	INVH
Tractor Supply Company Common Stock	TSCO
Etsy Inc. Common Stock	ETSY
FirstEnergy Corp. Common Stock	FE
Qorvo Inc. Common Stock	QRVO
M&T Bank Corporation Common Stock	MTB
Logitech International S.A. Ordinary Shares	LOGI
CNH Industrial N.V. Common Shares	CNHI
Ingersoll Rand Inc. Common Stock	IR
Extra Space Storage Inc Common Stock	EXR
Generac Holdlings Inc. Common Stock	GNRC
Pacific Gas & Electric Co. Equity Unit	PCGU
Pacific Gas & Electric Co. Common Stock	PCG
Ally Financial Inc. Common Stock	ALLY
Burlington Stores Inc. Common Stock	BURL
Albemarle Corporation Common Stock	ALB
TransUnion Common Stock	TRU
DraftKings Inc. Class A Common Stock	DKNG
Ubiquiti Inc. Common Stock	UI
Gartner Inc. Common Stock	IT
Horizon Therapeutics Public Limited Company Ordinary Shares	HZNP
Trimble Inc. Common Stock	TRMB
CGI Inc. Common Stock	GIB
Cincinnati Financial Corporation Common Stock	CINF
StoneCo Ltd. Class A Common Shares	STNE
Essex Property Trust Inc. Common Stock	ESS
Fresenius Medical Care AG Common Stock	FMS
10x Genomics Inc. Class A Common Stock	TXG
Waters Corporation Common Stock	WAT
Clarivate Plc Ordinary Shares	CLVT
MongoDB Inc. Class A Common Stock	MDB
Live Nation Entertainment Inc. Common Stock	LYV
Paycom Software Inc. Common Stock	PAYC
TAL Education Group American Depositary Shares	TAL
James Hardie Industries plc American Depositary Shares (Ireland)	JHX
Sun Communities Inc. Common Stock	SUI
Tradeweb Markets Inc. Class A Common Stock	TW
Cenovus Energy Inc Common Stock	CVE
American National Group Inc. Common Stock	ANAT
Heico Corporation Common Stock	HEI
Mid-America Apartment Communities Inc. Common Stock	MAA
Akamai Technologies Inc. Common Stock	AKAM
Lyft Inc. Class A Common Stock	LYFT
Genuine Parts Company Common Stock	GPC
The Cooper Companies Inc. Common Stock	COO
Boston Properties Inc. Common Stock	BXP
Celanese Corporation Celanese Corporation Common Stock	CE
SS&C Technologies Holdings Inc. Common Stock	SSNC
Broadridge Financial Solutions Inc.Common Stock	BR
ConAgra Brands Inc. Common Stock	CAG
Jacobs Engineering Group Inc. Common Stock	J
CarMax Inc	KMX
Elbit Systems Ltd. Ordinary Shares	ESLT
Viatris Inc. Common Stock	VTRS
Teleflex Incorporated Common Stock	TFX
Splunk Inc. Common Stock	SPLK
United Airlines Holdings Inc. Common Stock	UAL
Exact Sciences Corporation Common Stock	EXAS
L Brands Inc.	LB
Incyte Corp. Common Stock	INCY
Ryanair Holdings plc American Depositary Shares	RYAAY
Avery Dennison Corporation Common Stock	AVY
Enphase Energy Inc. Common Stock	ENPH
Avantor Inc. Common Stock	AVTR
Raymond James Financial Inc. Common Stock	RJF
Warner Music Group Corp. Class A Common Stock	WMG
Healthpeak Properties Inc. Common Stock	PEAK
CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078	CMSA
CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078	CMSC
CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079	CMSD
CMS Energy Corporation Common Stock	CMS
Duke Realty Corporation Common Stock	DRE
Vmware Inc. Common stock Class A	VMW
Franklin Resources Inc. Common Stock	BEN
Insulet Corporation Common Stock	PODD
NetApp Inc. Common Stock	NTAP
Amcor plc Ordinary Shares	AMCR
Principal Financial Group Inc Common Stock	PFG
Ulta Beauty Inc. Common Stock	ULTA
Omnicom Group Inc. Common Stock	OMC
J.B. Hunt Transport Services Inc. Common Stock	JBHT
Eastman Chemical Company Common Stock	EMN
MGM Growth Properties LLC Class A common shares representing limited liability company interests	MGP
Pool Corporation Common Stock	POOL
GameStop Corporation Common Stock	GME
Darden Restaurants Inc. Common Stock	DRI
Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units Series 2	BPYPO
Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units	BPYPP
Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units Series 3	BPYPN
Brookfield Property Partners L.P. Limited Partnership Units	BPY
NVR Inc. Common Stock	NVR
Plug Power Inc. Common Stock	PLUG
Bio-Rad Laboratories Inc. Class A Common Stock	BIO
ZoomInfo Technologies Inc. Class A Common Stock	ZI
Agnico Eagle Mines Limited Common Stock	AEM
Catalent Inc. Common Stock	CTLT
Alnylam Pharmaceuticals Inc. Common Stock	ALNY
IDEX Corporation Common Stock	IEX
MarketAxess Holdings Inc. Common Stock	MKTX
Bentley Systems Incorporated Class B Common Stock	BSY
PagSeguro Digital Ltd. Class A Common Shares	PAGS
VICI Properties Inc. Common Stock	VICI
Charles River Laboratories International Inc. Common Stock	CRL
Markel Corporation Common Stock	MKL
Quest Diagnostics Incorporated Common Stock	DGX
Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares)	ELP
Coupa Software Incorporated Common Stock	COUP
Domino's Pizza Inc Common Stock	DPZ
The AES Corporation Corporate Units	AESC
The AES Corporation Common Stock	AES
Farfetch Limited Class A Ordinary Shares	FTCH
STERIS plc (Ireland) Ordinary Shares	STE
Avangrid Inc. Common Stock	AGR
Bio-Techne Corp Common Stock	TECH
NortonLifeLock Inc. Common Stock	NLOK
Qualtrics International Inc. Class A Common Stock	XM
Tyler Technologies Inc. Common Stock	TYL
Cardinal Health Inc. Common Stock	CAH
Rollins Inc. Common Stock	ROL
ON Semiconductor Corporation Common Stock	ON
Lumen Technologies Inc. Common Stock	LUMN
PPD Inc. Common Stock	PPD
Check Point Software Technologies Ltd. Ordinary Shares	CHKP
Elanco Animal Health Incorporated 5.00% Tangible Equity Units	ELAT
Elanco Animal Health Incorporated Common Stock	ELAN
Vipshop Holdings Limited American Depositary Shares each representing two ordinary shares	VIPS
Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F	ACGLO
Arch Capital Group Ltd. Common Stock	ACGL
Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs	ACGLP
Huntington Bancshares Incorporated Depositary Shares	HBANO
Huntington Bancshares Incorporated Depositary Shares 4.500% Series H Non-Cumulative Perpetual Preferred Stock	HBANP
Huntington Bancshares Incorporated Depositary Shares each representing a 1/40th interest in a share of 5.875% Series C Non-Cumulative Perpetual Preferred Stock	HBANN
Huntington Bancshares Incorporated Common Stock	HBAN
Monolithic Power Systems Inc. Common Stock	MPWR
XPO Logistics Inc.	XPO
Affirm Holdings Inc. Class A Common Stock	AFRM
Zendesk Inc. Common Stock	ZEN
Entegris Inc. Common Stock	ENTG
Nuance Communications Inc. Common Stock	NUAN
Westrock Company Common Stock	WRK
Westinghouse Air Brake Technologies Corporation Common Stock	WAB
Teledyne Technologies Incorporated Common Stock	TDY
Textron Inc. Common Stock	TXT
American Airlines Group Inc. Common Stock	AAL
PerkinElmer Inc. Common Stock	PKI
Hologic Inc. Common Stock	HOLX
RLX Technology Inc. American Depositary Shares each representing the right to receive one (1) Class A ordinary share	RLX
Diamondback Energy Inc. Commmon Stock	FANG
Altice USA Inc. Class A Common Stock	ATUS
Discovery Inc. Series A Common Stock	DISCA
Discovery Inc. Series C Common Stock	DISCK
Discovery Inc. Series B Common Stock	DISCB
Ares Management Corporation Class A Common Stock	ARES
PTC Inc. Common Stock	PTC
The Carlyle Group Inc. 4.625% Subordinated Notes due 2061	CGABL
The Carlyle Group Inc. Common Stock	CG
Brookfield Renewable Corporation Class A Subordinate Voting Shares	BEPC
J.M. Smucker Company (The) New Common Stock	SJM
Howmet Aerospace Inc. Common Stock	HWM
Loews Corporation Common Stock	L
FMC Corporation Common Stock	FMC
LKQ Corporation Common Stock	LKQ
News Corporation Class A Common Stock	NWSA
News Corporation Class B Common Stock	NWS
Masco Corporation Common Stock	MAS
Liberty Global plc Class C Ordinary Shares	LBTYK
Liberty Global plc Class A Ordinary Shares	LBTYA
Liberty Global plc Class B Ordinary Shares	LBTYB
GoodRx Holdings Inc. Class A Common Stock	GDRX
Campbell Soup Company Common Stock	CPB
PulteGroup Inc. Common Stock	PHM
Shaw Communications Inc. Common Stock	SJR
Azul S.A. American Depositary Shares (each representing three preferred shares)	AZUL
DRDGOLD Limited American Depositary Shares	DRD
Enel Americas S.A. American Depositary Shares	ENIA
Wynn Resorts Limited Common stock	WYNN
Citrix Systems Inc. Common Stock	CTXS
Brown & Brown Inc. Common Stock	BRO
Leidos Holdings Inc. Common Stock	LDOS
CenterPoint Energy Inc (Holding Co) Common Stock	CNP
Whirlpool Corporation Common Stock	WHR
UDR Inc. Common Stock	UDR
Oak Street Health Inc. Common Stock	OSH
Molina Healthcare Inc Common Stock	MOH
Alliant Energy Corporation Common Stock	LNT
Signature Bank Common Stock	SBNY
Signature Bank Depositary shares each representing a 1/40th ownership interest in a share of 5.000% Noncumulative Perpetual Series A Preferred Stock	SBNYP
DENTSPLY SIRONA Inc. Common Stock	XRAY
Wix.com Ltd. Ordinary Shares	WIX
Dynatrace Inc. Common Stock	DT
Tuya Inc. American Depositary Shares each representing one Class A Ordinary Share	TUYA
Evergy Inc. Common Stock	EVRG
Fortune Brands Home & Security Inc. Common Stock	FBHS
BioMarin Pharmaceutical Inc. Common Stock	BMRN
UWM Holdings Corporation Class A Common Stock	UWMC
Credicorp Ltd. Common Stock	BAP
Oatly Group AB American Depositary Shares	OTLY
Fair Isaac Corproation Common Stock	FICO
Cognex Corporation Common Stock	CGNX
Mohawk Industries Inc. Common Stock	MHK
Icahn Enterprises L.P. Common Stock	IEP
Packaging Corporation of America Common Stock	PKG
W. P. Carey Inc. REIT	WPC
Kirkland Lake Gold Ltd. Common Shares	KL
agilon health inc. Common Stock	AGL
Snap-On Incorporated Common Stock	SNA
W.R. Berkley Corporation Common Stock	WRB
Steel Dynamics Inc.	STLD
Mosaic Company (The) Common Stock	MOS
IAC/InterActiveCorp Common Stock	IAC
Universal Health Services Inc. Common Stock	UHS
FNF Group of Fidelity National Financial Inc. Common Stock	FNF
Boston Beer Company Inc. (The) Common Stock	SAM
GoDaddy Inc. Class A Common Stock	GDDY
Novavax Inc. Common Stock	NVAX
Crown Holdings Inc.	CCK
Lincoln National Corporation Common Stock	LNC
Invesco Ltd Common Stock	IVZ
Westlake Chemical Corporation Common Stock	WLK
Equitable Holdings Inc. Common Stock	EQH
Vail Resorts Inc. Common Stock	MTN
Equity Lifestyle Properties Inc. Common Stock	ELS
Open Text Corporation Common Shares	OTEX
Interpublic Group of Companies Inc. (The) Common Stock	IPG
Smith & Nephew SNATS Inc. Common Stock	SNN
Teck Resources Ltd Ordinary Shares	TECK
Annaly Capital Management Inc Common Stock	NLY
Iron Mountain Incorporated (Delaware)Common Stock REIT	IRM
Atmos Energy Corporation Common Stock	ATO
ABIOMED Inc. Common Stock	ABMD
Hasbro Inc. Common Stock	HAS
Brookfield Renewable Partners L.P.	BEP
BorgWarner Inc. Common Stock	BWA
Molson Coors Beverage Company Class B Common Stock	TAP
Nordson Corporation Common Stock	NDSN
CNA Financial Corporation Common Stock	CNA
Quanta Services Inc. Common Stock	PWR
Continental Resources Inc. Common Stock	CLR
Lennox International Inc. Common Stock	LII
Ceridian HCM Holding Inc. Common Stock	CDAY
RH Common Stock	RH
Grifols S.A. American Depositary Shares	GRFS
Sociedad Quimica y Minera S.A. Common Stock	SQM
Endeavor Group Holdings Inc. Class A Common Stock	EDR
C.H. Robinson Worldwide Inc. Common Stock	CHRW
Embraer S.A. Common Stock	ERJ
DaVita Inc. Common Stock	DVA
Graco Inc. Common Stock	GGG
Camden Property Trust Common Stock	CPT
Upstart Holdings Inc. Common stock	UPST
Advance Auto Parts Inc Advance Auto Parts Inc W/I	AAP
Bunge Limited Bunge Limited	BG
Penn National Gaming Inc. Common Stock	PENN
SolarEdge Technologies Inc. Common Stock	SEDG
Williams-Sonoma Inc. Common Stock (DE)	WSM
GFL Environmental Inc. Tangible Equity Units	GFLU
GFL Environmental Inc. Subordinate voting shares no par value	GFL
Arrival Ordinary Shares	ARVL
Cemex S.A.B. de C.V. Sponsored ADR	CX
Allegion plc Ordinary Shares	ALLE
American Homes 4 Rent Common Shares of Beneficial Interest	AMH
Medical Properties Trust Inc. common stock	MPW
Bill.com Holdings Inc. Common Stock	BILL
Host Hotels & Resorts Inc. Common Stock	HST
FactSet Research Systems Inc. Common Stock	FDS
RPM International Inc. Common Stock	RPM
Lamb Weston Holdings Inc. Common Stock	LW
WPP plc American Depositary Shares	WPP
Lear Corporation Common Stock	LEA
Athene Holding Ltd. Class A Common Shares	ATH
Newell Brands Inc. Common Stock	NWL
Cboe Global Markets Inc. Common Stock	CBOE
American Financial Group Inc. 5.125% Subordinated Debentures due 2059	AFGC
American Financial Group Inc. 5.625% Subordinated Debentures due 2060	AFGD
American Financial Group Inc. 4.500% Subordinated Debentures due 2060	AFGE
American Financial Group Inc. 5.875% Subordinated Debentures due 2059	AFGB
American Financial Group Inc. Common Stock	AFG
Gap Inc. (The) Common Stock	GPS
Tapestry Inc. Common Stock	TPR
Guardant Health Inc. Common Stock	GH
Norwegian Cruise Line Holdings Ltd. Ordinary Shares	NCLH
CF Industries Holdings Inc. Common Stock	CF
Santander Consumer USA Holdings Inc. Common Stock	SC
Elastic N.V. Ordinary Shares	ESTC
McAfee Corp. Class A Common Stock	MCFE
Darling Ingredients Inc. Common Stock	DAR
Jack Henry & Associates Inc. Common Stock	JKHY
ICON plc Ordinary Shares	ICLR
Essential Utilities Inc. 6.00% TEU	WTRU
Essential Utilities Inc. Common Stock	WTRG
Masimo Corporation Common Stock	MASI
Magellan Midstream Partners L.P. Limited Partnership	MMP
QuantumScape Corporation Class A Common Stock	QS
Booz Allen Hamilton Holding Corporation Common Stock	BAH
Pentair plc. Ordinary Share	PNR
Texas Pacific Land Corporation Common Stock	TPL
Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079	AQNB
Algonquin Power & Utilities Corp. Common Shares	AQN
Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078	AQNA
Black Knight Inc. Common Stock	BKI
Tenaris S.A. American Depositary Shares	TS
Dropbox Inc. Class A Common Stock	DBX
Zynga Inc. Class A Common Stock	ZNGA
iQIYI Inc. American Depositary Shares	IQ
Cree Inc. Common Stock	CREE
Ozon Holdings PLC American Depositary Shares each ADS representing one ordinary share	OZON
Lightspeed POS Inc. Subordinate Voting Shares	LSPD
Toro Company (The) Common Stock	TTC
LPL Financial Holdings Inc. Common Stock	LPLA
F5 Networks Inc. Common Stock	FFIV
Companhia Brasileira de Distribuicao American Depsitary Shares; each representing one Common Share	CBD
Bausch Health Companies Inc. Common Stock	BHC
Canopy Growth Corporation Common Shares	CGC
Scotts Miracle-Gro Company (The) Common Stock	SMG
IPG Photonics Corporation Common Stock	IPGP
VEREIT Inc. Common Stock	VER
Watsco Inc. Common Stock	WSO
Regency Centers Corporation Common Stock	REG
Trex Company Inc. Common Stock	TREX
Amerco Common Stock	UHAL
A.O. Smith Corporation Common Stock	AOS
PRA Health Sciences Inc. Common Stock	PRAH
Maravai LifeSciences Holdings Inc. Class A Common Stock	MRVI
Gaming and Leisure Properties Inc. Common Stock	GLPI
Globe Life Inc. Common Stock	GL
Owens Corning Inc Common Stock New	OC
Henry Schein Inc. Common Stock	HSIC
Comerica Incorporated Common Stock	CMA
Marathon Oil Corporation Common Stock	MRO
Weibo Corporation American Depositary Share	WB
Reliance Steel & Aluminum Co. Common Stock (DE)	RS
Avalara Inc. Common Stock	AVLR
Cable One Inc. Common Stock	CABO
argenx SE American Depositary Shares	ARGX
Five Below Inc. Common Stock	FIVE
TFI International Inc. Common Shares	TFII
West Fraser Timber Co. Ltd Common stock	WFG
Western Alliance Bancorporation 6.25% Subordinated Debentures due 2056	WALA
Western Alliance Bancorporation Common Stock (DE)	WAL
Targa Resources Inc. Common Stock	TRGP
Playtika Holding Corp. Common Stock	PLTK
Amdocs Limited Ordinary Shares	DOX
First Horizon Corporation Common Stock	FHN
Bruker Corporation Common Stock	BRKR
East West Bancorp Inc. Common Stock	EWBC
Procore Technologies Inc. Common Stock	PCOR
Five9 Inc. Common Stock	FIVN
Levi Strauss & Co Class A Common Stock	LEVI
Lamar Advertising Company Class A Common Stock	LAMR
Hubbell Inc Common Stock	HUBB
Everest Re Group Ltd. Common Stock	RE
Jones Lang LaSalle Incorporated Common Stock	JLL
Chegg Inc. Common Stock	CHGG
MKS Instruments Inc. Common Stock	MKSI
AGCO Corporation Common Stock	AGCO
Western Union Company (The) Common Stock	WU
Lithia Motors Inc. Common Stock	LAD
Robert Half International Inc. Common Stock	RHI
Floor & Decor Holdings Inc. Common Stock	FND
DXC Technology Company Common Stock	DXC
Universal Display Corporation Common Stock	OLED
Banco De Chile Banco De Chile ADS	BCH
Kinross Gold Corporation Common Stock	KGC
Morningstar Inc. Common Stock	MORN
NiSource Inc Common Stock	NI
NiSource Inc Series A Corporate Units	NIMC
Proofpoint Inc. Common Stock	PFPT
Banco Santander - Chile ADS	BSAC
Alleghany Corporation Common Stock	Y
Cleveland-Cliffs Inc. Common Stock	CLF
Carlisle Companies Incorporated Common Stock	CSL
Assurant Inc. Common Stock	AIZ
Assurant Inc. 5.25% Subordinated Notes due 2061	AIZN
Jazz Pharmaceuticals plc Common Stock (Ireland)	JAZZ
TELUS International (Cda) Inc. Subordinate Voting Shares	TIXT
Penumbra Inc. Common Stock	PEN
Dolby Laboratories Common Stock	DLB
Pinnacle West Capital Corporation Common Stock	PNW
